,rightankle,leftankle,rightknee,leftknee,righthip,lefthip,rightshoulder,leftshoulder,rightankle leftankle,rightankle rightknee,rightankle leftknee,rightankle righthip,rightankle lefthip,rightankle rightshoulder,rightankle leftshoulder,leftankle rightknee,leftankle leftknee,leftankle righthip,leftankle lefthip,leftankle rightshoulder,leftankle leftshoulder,rightknee leftknee,rightknee righthip,rightknee lefthip,rightknee rightshoulder,rightknee leftshoulder,leftknee righthip,leftknee lefthip,leftknee rightshoulder,leftknee leftshoulder,righthip lefthip,righthip rightshoulder,righthip leftshoulder,lefthip rightshoulder,lefthip leftshoulder,rightshoulder leftshoulder,curve
26,142.83,113.13,163.48,166.0,141.98,149.5,7.78,16.12,16158.3579,23349.8484,23709.780000000002,20279.0034,21353.085000000003,1111.2174000000002,2302.4196,18494.4924,18779.579999999998,16062.197399999997,16912.934999999998,880.1514,1823.6556,27137.679999999997,23210.890399999997,24440.26,1271.8744,2635.2976,23568.679999999997,24817.0,1291.48,2675.92,21226.01,1104.6044,2288.7176,1163.1100000000001,2409.94,125.41360000000002,1
27,123.45,155.73,156.08,153.94,133.06,139.96,5.3,3.17,19224.8685,19268.076,19003.893,16426.257,17278.062,654.285,391.3365,24306.3384,23973.0762,20721.4338,21795.9708,825.3689999999999,493.66409999999996,24026.9552,20768.004800000002,21844.956800000004,827.224,494.77360000000004,20483.2564,21545.4424,815.882,487.9898,18623.0776,705.218,421.8002,741.788,443.6732,16.801,1
28,97.2,138.41,177.21,165.64,155.56,165.25,1.63,76.83,13453.452,17224.812,16100.207999999999,15120.432,16062.300000000001,158.436,7467.876,24527.6361,22926.232399999997,21531.0596,22872.2525,225.60829999999999,10634.040299999999,29353.0644,27566.787600000003,29283.952500000003,288.8523,13615.0443,25766.9584,27372.01,269.99319999999994,12726.121199999998,25706.29,253.56279999999998,11951.6748,269.35749999999996,12696.1575,125.23289999999999,1
29,152.21,159.01,164.86,172.2,143.65,164.49,25.11,36.35,24202.9121,25093.340600000003,26210.561999999998,21864.966500000002,25037.022900000004,3821.9931,5532.833500000001,26214.388600000002,27381.521999999997,22841.7865,26155.5549,3992.7410999999997,5780.0135,28388.892,23682.139000000003,27117.821400000004,4139.6346,5992.661000000001,24736.53,28325.178,4323.942,6259.47,23628.988500000003,3607.0515,5221.677500000001,4130.3439,5979.2115,912.7485,1
30,145.1,151.58,168.75,158.87,149.89,154.86,16.37,22.42,21994.258,24485.625,23052.037,21749.038999999997,22470.186,2375.2870000000003,3253.1420000000003,25579.125000000004,24081.514600000002,22720.3262,23473.678800000005,2481.3646000000003,3398.4236000000005,26809.3125,25293.937499999996,26132.625000000004,2762.4375,3783.3750000000005,23813.024299999997,24602.608200000002,2600.7019,3561.8654000000006,23211.9654,2453.6992999999998,3360.5338,2535.0582000000004,3471.9612000000006,367.01540000000006,1
31,138.33,109.61,159.31,158.33,140.92,151.15,17.31,33.96,15162.351300000002,22037.352300000002,21901.788900000003,19493.4636,20908.579500000003,2394.4923,4697.6868,17461.9691,17354.551300000003,15446.241199999999,16567.5515,1897.3491,3722.3556,25223.552300000003,22449.9652,24079.7065,2757.6560999999997,5410.1676,22311.8636,23931.579500000003,2740.6923,5376.8868,21300.057999999997,2439.3251999999998,4785.6431999999995,2616.4065,5133.054,587.8475999999999,1
32,131.96,152.29,166.56,172.4,154.92,167.9,8.32,13.73,20096.1884,21979.2576,22749.904000000002,20443.2432,22156.084000000003,1097.9072,1811.8108000000002,25365.4224,26254.796,23592.766799999998,25569.490999999998,1267.0528,2090.9417,28714.944000000003,25803.475199999997,27965.424000000003,1385.7792000000002,2286.8688,26708.208,28945.960000000003,1434.3680000000002,2367.052,26011.068,1288.9343999999999,2127.0516,1396.928,2305.2670000000003,114.23360000000001,1
33,163.13,155.47,171.87,176.56,151.95,166.38,9.13,52.23,25361.821099999997,28037.1531,28802.232799999998,24787.603499999997,27141.5694,1489.3769,8520.2799,26720.6289,27449.7832,23623.6665,25867.098599999998,1419.4411,8120.1981,30345.3672,26115.6465,28595.7306,1569.1731000000002,8976.7701,26828.291999999998,29376.0528,1611.9928000000002,9221.728799999999,25281.441,1387.3035,7936.348499999999,1519.0494,8690.027399999999,476.85990000000004,1
34,159.41,166.56,169.35,174.29,146.52,162.82,0.37,54.44,26551.3296,26996.083499999997,27783.5689,23356.753200000003,25955.136199999997,58.9817,8678.2804,28206.935999999998,29029.7424,24404.3712,27119.299199999998,61.6272,9067.5264,29516.011499999997,24813.162,27573.567,62.659499999999994,9219.413999999999,25536.9708,28377.8978,64.48729999999999,9488.3476,23856.3864,54.2124,7976.5488000000005,60.243399999999994,8863.9208,20.142799999999998,1
35,168.46,154.39,160.97,169.71,137.5,149.92,13.85,19.93,26008.539399999998,27117.0062,28589.346600000004,23163.25,25255.5232,2333.1710000000003,3357.4078,24852.1583,26201.526899999997,21228.624999999996,23146.148799999995,2138.3014999999996,3076.9927,27318.2187,22133.375,24132.622399999997,2229.4345,3208.1321,23335.125,25442.923199999997,2350.4835000000003,3382.3203000000003,20614.0,1904.375,2740.375,2076.392,2987.9055999999996,276.03049999999996,1
36,166.59,157.77,167.22,166.68,138.88,152.41,3.51,10.58,26282.904300000002,27857.1798,27767.2212,23136.0192,25389.9819,584.7309,1762.5222,26382.2994,26297.103600000002,21911.0976,24045.725700000003,553.7727,1669.2066000000002,27872.229600000002,23223.5136,25486.0002,586.9422,1769.1876,23148.5184,25403.698800000002,585.0468,1763.4744,21166.7008,487.46879999999993,1469.3504,534.9590999999999,1612.4977999999999,37.135799999999996,1
37,136.15,129.79,159.84,161.05,140.31,141.56,5.07,13.17,17670.9085,21762.216,21926.957500000004,19103.2065,19273.394,690.2805000000001,1793.0955000000001,20745.633599999997,20902.679500000002,18210.834899999998,18373.0724,658.0353,1709.3343,25742.232000000004,22427.150400000002,22626.9504,810.3888000000001,2105.0928,22596.9255,22798.238,816.5235000000001,2121.0285000000003,19862.2836,711.3717,1847.8827,717.7092,1864.3452,66.7719,1
38,160.2,159.08,154.69,171.39,142.31,156.76,4.66,7.39,25484.616,24781.337999999996,27456.677999999996,22798.061999999998,25112.951999999997,746.5319999999999,1183.878,24608.0852,27264.7212,22638.6748,24937.3808,741.3128,1175.6012,26512.319099999997,22013.9339,24249.2044,720.8554,1143.1590999999999,24390.510899999997,26867.096399999995,798.6773999999999,1266.5720999999999,22308.5156,663.1646000000001,1051.6709,730.5015999999999,1158.4563999999998,34.4374,1
